pid,category,eco
131145,Bakery and bread,0
131405,Bakery and bread,0
131420,Bakery and bread,0
131470,Bakery and bread,0
131488,Bakery and bread,0
131496,Bakery and bread,0
131498,Bakery and bread,0
131518,Bakery and bread,0
131589,Bakery and bread,0
131600,Bakery and bread,0
131647,Bakery and bread,0
131710,Bakery and bread,0
131725,Bakery and bread,0
131975,Bakery and bread,0
132200,Bakery and bread,0
132203,Bakery and bread,0
132305,Bakery and bread,0
132310,Bakery and bread,0
132316,Misc,0
132335,Bakery and bread,0
132347,Bakery and bread,0
132350,Bakery and bread,0
132351,Bakery and bread,0
132352,Bakery and bread,0
132353,Bakery and bread,0
132381,Bakery and bread,0
132461,Bakery and bread,0
133170,Misc,0
133357,Bakery and bread,0
133520,Bakery and bread,0
133526,Bakery and bread,0
133626,Bakery and bread,0
133718,Bakery and bread,0
133720,Bakery and bread,0
133721,Bakery and bread,0
133839,Bakery and bread,0
134016,Bakery and bread,0
134033,Bakery and bread,0
134077,Misc,0
134131,Bakery and bread,0
134182,Bakery and bread,0
134829,Bakery and bread,0
134860,Bakery and bread,0
134908,Bakery and bread,0
135220,Bakery and bread,0
135238,Bakery and bread,0
135296,Bakery and bread,0
135627,Bakery and bread,0
135832,Bakery and bread,0
135997,Bakery and bread,0
136071,Bakery and bread,0
